4	15	3.5
4	16	3.5
4	17	3.75
4	18	4
4	19	4.25
4	20	4.5
4	21	4.75
4	22	5
4	23	5.25
4	24	5.5
4	25	5.75
4	26	6
4	27	6.25
4	28	6.5
4	29	6.75
4	30	7
4	31	7.25
4	32	7.5
4	33	7.75
4	34	8
4	35	8.25
4	36	8.5
4	37	8.75
4	38	8.75
4	39	9
4	40	9.25
4	41	9.5
4	42	9.75
4	43	10
4	44	10.25
4	45	10.5
4	46	10.75
4	47	11
4	48	11.25
4	49	11.25
4	50	11.5
4	51	11.75
4	52	12
4	53	12.25
4	54	12.5
4	55	12.75
4	56	13
4	57	13
4	58	13.25
4	59	13.5
4	60	13.75
4	61	14
4	62	14.25
4	63	14.5
4	64	14.75
4	65	15
4	66	15.25
4	67	15.5
4	68	15.75
4	69	16
4	70	16.25
4	71	16.5
4	72	16.75
4	73	17
4	74	17.5
4	75	18
4	75	18.25
4	74	18.75
4	73	18.75
4	72	18.75
4	71	19
4	70	19
4	69	19
4	68	19
4	67	19
4	66	19
4	65	19
4	64	18.75
4	63	18.75
4	62	18.75
4	61	18.75
4	60	18.5
4	59	18.5
4	58	18.5
4	57	18.25
4	56	18.25
4	55	18.25
4	54	18
4	53	18
4	52	17.75
4	51	17.75
4	50	17.5
4	49	17.25
4	48	17.25
4	47	17
4	46	16.75
4	45	16.75
4	44	16.5
4	43	16.25
4	42	16
4	41	15.75
4	40	15.5
4	39	15.25
4	38	15
4	37	14.75
4	36	14.5
4	35	14.25
4	34	14
4	33	13.75
4	32	13.25
4	31	13
4	30	12.75
4	29	12.25
4	28	12
4	27	11.5
4	26	11
4	25	10.75
4	24	10.25
4	23	9.75
4	22	9.25
4	21	8.75
4	20	8.25
4	19	7.5
4	18	7
4	17	6.25
4	16	5.5
4	15	3.5
