CLAS physics database search results
Measurement E32M2
g10 CLAS experiment
Wei Chen
0

theta	sqrt(s)	s7dsigma/dt	Data errors	Systematic errors
deg	GeV	10^7 GeV14 nb/GeV2	10^7 GeV14 nb/GeV2	10^7 GeV14 nb/GeV2
70	2.45426	2.69378	0.33998	0.02782
70	2.41905	2.59926	0.32567	0.0252
70	2.38339	2.83225	0.35218	0.02561
70	2.34726	2.94466	0.36332	0.02501
70	2.31009	3.42423	0.41933	0.02733
70	2.26116	4.02631	0.4883	0.03347
70	2.23036	4.45932	0.53739	0.0353
70	2.19917	4.66997	0.55915	0.03547
70	2.16787	4.85685	0.57782	0.03558
70	2.1352	5.00248	0.59155	0.03487
70	2.10574	5.01996	0.59036	0.03328
70	2.07106	4.89064	0.57189	0.03111
70	2.03701	4.76837	0.55473	0.0291
70	2.00302	4.49765	0.52086	0.0262
70	1.97328	4.27298	0.49336	0.02897
70	1.94838	4.0171	0.46256	0.02634
70	1.9237	3.66295	0.42079	0.02332
70	1.89739	3.55762	0.40779	0.02205
70	1.87181	3.31875	0.37973	0.02005
70	1.84598	3.12435	0.35695	0.01854
70	1.81971	2.97436	0.33939	0.0171
70	1.79262	2.76325	0.315	0.01555
70	1.76512	2.54547	0.28998	0.01393
70	1.73766	2.37371	0.27032	0.01267
70	1.70933	2.19638	0.25012	0.01139
70	1.68294	1.96794	0.22418	0.00995
75	2.74178	2.60884	0.35932	0.06424
75	2.69982	2.08814	0.28101	0.03806
75	2.65465	1.88874	0.25006	0.02914
75	2.61032	1.94029	0.25349	0.02584
75	2.56311	2.00853	0.25933	0.02361
75	2.51981	2.17426	0.27843	0.02895
75	2.48857	2.23926	0.28465	0.02626
75	2.45426	2.21921	0.28003	0.02381
75	2.41905	2.44291	0.30586	0.02433
75	2.38339	2.71192	0.33712	0.02497
75	2.34726	2.94458	0.3634	0.02549
75	2.31009	3.15297	0.38591	0.02534
75	2.26116	3.76837	0.45687	0.03138
75	2.23036	4.14043	0.49878	0.03276
75	2.19917	4.54386	0.54411	0.03441
75	2.16787	4.71281	0.56088	0.03407
75	2.1352	4.80521	0.56827	0.03335
75	2.10574	4.82648	0.56771	0.03192
75	2.07106	4.76684	0.55759	0.03037
75	2.03701	4.47361	0.52055	0.02727
75	2.00302	4.17222	0.48323	0.02438
75	1.97328	3.88978	0.44914	0.02631
75	1.94838	3.6154	0.41632	0.02388
75	1.9237	3.43741	0.39487	0.02206
75	1.89739	3.14185	0.36014	0.01962
75	1.87181	2.85597	0.32677	0.0174
75	1.84598	2.48535	0.28393	0.01475
75	1.81971	2.28756	0.26102	0.01327
75	1.79262	2.04867	0.23353	0.0115
75	1.76512	1.92742	0.21956	0.0105
75	1.73766	1.79294	0.20418	0.00957
75	1.70933	1.67059	0.19024	0.00871
75	1.68294	1.47965	0.16855	0.00751
80	2.74178	1.98718	0.27322	0.04528
80	2.69982	1.52966	0.20566	0.02579
80	2.65465	1.39442	0.1844	0.0197
80	2.61032	1.30218	0.17	0.01606
80	2.56311	1.40899	0.18182	0.01548
80	2.51981	1.74872	0.22386	0.02235
80	2.48857	1.95217	0.24825	0.02221
80	2.45426	2.07736	0.2623	0.02193
80	2.41905	2.49909	0.31333	0.02526
80	2.38339	2.61488	0.32522	0.0246
80	2.34726	3.01678	0.37263	0.02738
80	2.31009	3.32122	0.40687	0.02816
80	2.26116	3.81097	0.46235	0.03356
80	2.23036	4.11081	0.49541	0.03413
80	2.19917	4.22498	0.50584	0.03343
80	2.16787	4.42406	0.52629	0.03336
80	2.1352	4.62917	0.5473	0.03332
80	2.10574	4.67953	0.55023	0.03205
80	2.07106	4.53433	0.53018	0.02947
80	2.03701	4.19962	0.4886	0.02616
80	2.00302	3.76276	0.43578	0.0224
80	1.97328	3.58791	0.41427	0.02464
80	1.94838	3.43341	0.39537	0.02284
80	1.9237	3.16201	0.36326	0.02053
80	1.89739	2.79348	0.32023	0.01766
80	1.87181	2.39285	0.2738	0.01471
80	1.84598	2.0612	0.2355	0.0124
80	1.81971	1.78132	0.20326	0.01037
80	1.79262	1.62367	0.1851	0.00924
80	1.76512	1.49452	0.17026	0.00829
80	1.73766	1.41411	0.16104	0.00766
80	1.70933	1.28413	0.14624	0.00677
80	1.68294	1.15373	0.13143	0.00598
85	2.74178	1.43987	0.19767	0.03099
85	2.69982	1.14694	0.15415	0.01857
85	2.65465	1.06909	0.14131	0.01446
85	2.61032	1.29186	0.16856	0.01505
85	2.56311	1.38311	0.17835	0.0144
85	2.51981	1.78996	0.22916	0.02104
85	2.48857	2.05815	0.26156	0.0216
85	2.45426	2.2402	0.28266	0.02224
85	2.41905	2.71375	0.34003	0.02557
85	2.38339	2.93321	0.36476	0.02597
85	2.34726	3.20173	0.39517	0.02721
85	2.31009	3.52294	0.43142	0.02867
85	2.26116	3.855	0.46775	0.03313
85	2.23036	3.93708	0.47466	0.03278
85	2.19917	4.01581	0.48123	0.03239
85	2.16787	4.16463	0.49589	0.03229
85	2.1352	4.18675	0.49544	0.03122
85	2.10574	4.13132	0.4861	0.02945
85	2.07106	4.10664	0.4804	0.02822
85	2.03701	3.83229	0.44598	0.02495
85	2.00302	3.66123	0.42408	0.02285
85	1.97328	3.4753	0.40131	0.02485
85	1.94838	3.24341	0.37353	0.0226
85	1.9237	2.95417	0.3394	0.02009
85	1.89739	2.53742	0.2909	0.01689
85	1.87181	2.15698	0.24683	0.014
85	1.84598	1.81349	0.20721	0.01157
85	1.81971	1.59605	0.18214	0.00998
85	1.79262	1.36249	0.15534	0.00833
85	1.76512	1.28001	0.14584	0.00768
85	1.73766	1.14628	0.13055	0.00668
85	1.70933	1.07115	0.12199	0.00611
85	1.68294	0.96559	0.11001	0.00537
90	2.74178	1.50054	0.20599	0.03218
90	2.69982	1.4321	0.19234	0.02282
90	2.65465	1.61402	0.21331	0.02164
90	2.61032	1.70575	0.22256	0.01968
90	2.56311	1.90746	0.24603	0.01938
90	2.51981	2.28705	0.29271	0.02604
90	2.48857	2.68832	0.34171	0.02718
90	2.45426	2.77945	0.35063	0.02626
90	2.41905	3.01727	0.37792	0.0268
90	2.38339	3.29124	0.40913	0.02725
90	2.34726	3.52728	0.43526	0.0278
90	2.31009	3.84758	0.47128	0.02856
90	2.26116	3.9996	0.48501	0.03089
90	2.23036	4.22771	0.50949	0.0316
90	2.19917	4.2824	0.51278	0.031
90	2.16787	4.22715	0.50313	0.02976
90	2.1352	4.09676	0.48458	0.02825
90	2.10574	3.81788	0.44903	0.02582
90	2.07106	3.68465	0.43091	0.02478
90	2.03701	3.47391	0.40418	0.02305
90	2.00302	3.35484	0.38854	0.02175
90	1.97328	3.11396	0.35961	0.02366
90	1.94838	2.82967	0.32591	0.021
90	1.9237	2.50859	0.28829	0.0183
90	1.89739	2.19712	0.25195	0.01565
90	1.87181	1.85193	0.21198	0.01284
90	1.84598	1.58584	0.18125	0.01069
90	1.81971	1.35327	0.15448	0.00884
90	1.79262	1.20272	0.13715	0.00763
90	1.76512	1.13293	0.12911	0.00696
90	1.73766	1.05031	0.11965	0.00623
90	1.70933	0.97922	0.11154	0.00559
90	1.68294	0.90963	0.10364	0.00504
95	2.74178	2.12793	0.29234	0.04707
95	2.69982	2.04042	0.27409	0.03308
95	2.65465	1.92531	0.25446	0.02576
95	2.61032	2.49806	0.32589	0.02831
95	2.56311	2.77417	0.35779	0.02772
95	2.51981	3.18402	0.40728	0.03527
95	2.48857	3.28385	0.4171	0.03192
95	2.45426	3.47869	0.43872	0.03119
95	2.41905	3.77985	0.47314	0.03169
95	2.38339	4.12148	0.51223	0.03234
95	2.34726	4.19714	0.51765	0.03139
95	2.31009	4.26897	0.52217	0.0302
95	2.26116	4.44284	0.53796	0.03362
95	2.23036	4.30671	0.51818	0.03182
95	2.19917	4.25872	0.50933	0.0308
95	2.16787	4.0264	0.47869	0.02839
95	2.1352	3.87612	0.4583	0.02654
95	2.10574	3.6891	0.43396	0.02451
95	2.07106	3.38147	0.39565	0.02164
95	2.03701	3.03326	0.35313	0.01886
