Beam Energy [GeV],-t [GeV**2],-(t-tmin) [GeV**2],ds/dt
0.90000000E+01,0.46020797E+00,0.17580011E-01,0.34623052E+00
0.90000000E+01,0.46319912E+00,0.20571167E-01,0.34673340E+00
0.90000000E+01,0.47064420E+00,0.28016241E-01,0.34639292E+00
0.90000000E+01,0.49754231E+00,0.54914349E-01,0.32938169E+00
0.90000000E+01,0.53939303E+00,0.96765075E-01,0.27252745E+00
0.90000000E+01,0.58657804E+00,0.14395009E+00,0.22100164E+00
0.90000000E+01,0.62829137E+00,0.18566341E+00,0.18479238E+00
0.90000000E+01,0.65503326E+00,0.21240531E+00,0.16614641E+00
0.90000000E+01,0.72813004E+00,0.28550208E+00,0.12591040E+00
0.90000000E+01,0.99339576E+00,0.55076780E+00,0.49012920E-01
0.90000000E+01,0.14015632E+01,0.95893525E+00,0.12950257E-01
0.90000000E+01,0.18553121E+01,0.14126841E+01,0.31494678E-02
0.90000000E+01,0.22509661E+01,0.18083382E+01,0.10522900E-02
0.90000000E+01,0.25020026E+01,0.20593746E+01,0.57059840E-03
0.10000000E+02,0.33571090E+00,0.00000000E+00,0.38541044E+00
0.10000000E+02,0.33926165E+00,0.35507456E-02,0.37857540E+00
0.10000000E+02,0.34479235E+00,0.90814477E-02,0.36782452E+00
0.10000000E+02,0.35103691E+00,0.15326008E-01,0.35501691E+00
0.10000000E+02,0.35656521E+00,0.20854308E-01,0.34336720E+00
0.10000000E+02,0.36011323E+00,0.24402323E-01,0.33575655E+00
0.10000000E+02,0.36894403E+00,0.33233126E-01,0.31692647E+00
0.10000000E+02,0.40084489E+00,0.65133987E-01,0.25570163E+00
0.10000000E+02,0.45046784E+00,0.11475693E+00,0.18618814E+00
0.10000000E+02,0.50639882E+00,0.17068792E+00,0.13904570E+00
0.10000000E+02,0.55582897E+00,0.22011806E+00,0.11001196E+00
0.10000000E+02,0.58751064E+00,0.25179974E+00,0.95578362E-01
0.10000000E+02,0.67408039E+00,0.33836949E+00,0.67511922E-01
0.10000000E+02,0.98787445E+00,0.65216354E+00,0.24741608E-01
0.10000000E+02,0.14695845E+01,0.11338736E+01,0.68777741E-02
0.10000000E+02,0.20034553E+01,0.16677444E+01,0.18014400E-02
0.10000000E+02,0.24675396E+01,0.21318287E+01,0.64906278E-03
0.10000000E+02,0.27612874E+01,0.24255765E+01,0.37968685E-03
0.11000000E+02,0.26456424E+00,0.00000000E+00,0.84425650E+00
0.11000000E+02,0.26873639E+00,0.41721532E-02,0.82086925E+00
0.11000000E+02,0.27523486E+00,0.10670623E-01,0.78588762E+00
0.11000000E+02,0.28257188E+00,0.18007646E-01,0.73677651E+00
0.11000000E+02,0.28906715E+00,0.24502910E-01,0.68731058E+00
0.11000000E+02,0.29323566E+00,0.28671420E-01,0.65468084E+00
0.11000000E+02,0.30361051E+00,0.39046276E-01,0.57731446E+00
0.11000000E+02,0.34108537E+00,0.76521133E-01,0.37916510E+00
0.11000000E+02,0.39936696E+00,0.13480273E+00,0.22535237E+00
0.11000000E+02,0.46503988E+00,0.20047565E+00,0.13988507E+00
0.11000000E+02,0.52306431E+00,0.25850007E+00,0.96532215E-01
0.11000000E+02,0.56024680E+00,0.29568256E+00,0.77209760E-01
0.11000000E+02,0.66181722E+00,0.39725298E+00,0.44466304E-01
0.11000000E+02,0.10296129E+01,0.76504866E+00,0.11288166E-01
0.11000000E+02,0.15930801E+01,0.13285159E+01,0.29143901E-02
0.11000000E+02,0.22159302E+01,0.19513660E+01,0.89796015E-03
0.11000000E+02,0.27559531E+01,0.24913888E+01,0.37798719E-03
0.11000000E+02,0.30970819E+01,0.28325177E+01,0.23725731E-03
0.12000000E+02,0.21450771E+00,0.00000000E+00,0.16524731E+01
0.12000000E+02,0.21936073E+00,0.48530219E-02,0.16127440E+01
0.12000000E+02,0.22691955E+00,0.12411840E-01,0.15446465E+01
0.12000000E+02,0.23545352E+00,0.20945803E-01,0.14219596E+01
0.12000000E+02,0.24300819E+00,0.28500478E-01,0.12916926E+01
0.12000000E+02,0.24785650E+00,0.33348790E-01,0.12080403E+01
0.12000000E+02,0.25992295E+00,0.45415233E-01,0.10218688E+01
0.12000000E+02,0.30350382E+00,0.88996104E-01,0.60665737E+00
0.12000000E+02,0.37126870E+00,0.15676098E+00,0.31224569E+00
0.12000000E+02,0.44760876E+00,0.23310105E+00,0.16865736E+00
0.12000000E+02,0.51504140E+00,0.30053368E+00,0.10573030E+00
0.12000000E+02,0.55824455E+00,0.34373684E+00,0.80500398E-01
0.12000000E+02,0.67622882E+00,0.46172110E+00,0.41992546E-01
0.12000000E+02,0.11030602E+01,0.88855251E+00,0.87013976E-02
0.12000000E+02,0.17557502E+01,0.15412425E+01,0.19571061E-02
0.12000000E+02,0.24754982E+01,0.22609904E+01,0.57710712E-03
0.12000000E+02,0.30980547E+01,0.28835470E+01,0.24969662E-03
