#: table_doi: 10.17182/hepdata.26965.v1/t3
#: name: Table 3
#: description: Differential cross section DSIG/DT for photon energy 1.77 to 1.87 GeV.

#: data_file: Table3.yaml
#: keyword reactions: GAMMA DEUT --> PHI DEUT
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: E(P=1) [GEV],,,1.77 TO 1.87
#: RE,,,GAMMA DEUT --> PHI DEUT
#: T-TMIN [GEV**2],T-TMIN [GEV**2] LOW,T-TMIN [GEV**2] HIGH,D(SIG)/D(T-TMIN) [MUB/GEV**2],total +,total -,stat +,stat -
-0.01,-0.02,0.0,0.39,0.07,-0.07,0.07,-0.07
-0.03,-0.04,-0.02,0.31,0.08,-0.08,0.07,-0.07
-0.05,-0.06,-0.04,0.07,0.04,-0.04,0.04,-0.04
-0.07,-0.08,-0.06,0.07,0.06,-0.06,0.04,-0.04
-0.09,-0.1,-0.08,0.07,0.06,-0.06,0.05,-0.05
-0.11,-0.12,-0.1,0.22,0.1,-0.1,0.1,-0.1
-0.13,-0.14,-0.12,0.05,0.05,-0.05,0.05,-0.05
-0.15000000000000002,-0.16,-0.14,0.06,0.08,-0.08,0.06,-0.06

