4	21	6.25
4	22	6
4	23	6.25
4	24	6.5
4	25	6.5
4	26	6.75
4	27	7
4	28	7.25
4	29	7.5
4	30	7.75
4	31	8
4	32	8.25
4	33	8.5
4	34	8.75
4	35	9
4	36	9.25
4	37	9.5
4	38	9.75
4	39	9.75
4	40	10
4	41	10.25
4	42	10.5
4	43	10.75
4	44	11
4	45	11.25
4	46	11.5
4	47	11.75
4	48	12
4	49	12.5
4	50	12.75
4	51	13
4	52	13.25
4	53	13.5
4	54	13.75
4	55	14.25
4	56	14.5
4	56	15.25
4	55	15.25
4	54	15.25
4	53	15.25
4	52	15.25
4	51	15.25
4	50	15
4	49	15
4	48	15
4	47	14.75
4	46	14.75
4	45	14.5
4	44	14.25
4	43	14.25
4	42	14
4	41	13.75
4	40	13.5
4	39	13.25
4	38	13
4	37	13
4	36	12.75
4	35	12.25
4	34	12
4	33	11.75
4	32	11.5
4	31	11.25
4	30	10.75
4	29	10.5
4	28	10
4	27	9.75
4	26	9.25
4	25	8.75
4	24	8.25
4	23	7.75
4	22	7.25
4	21	6.25
