#: table_doi: 10.17182/hepdata.26965.v1/t8
#: name: Table 8
#: description: Differential cross section DSIG/DT for photon energy 2.27 to 2.37 GeV.

#: data_file: Table8.yaml
#: keyword reactions: GAMMA DEUT --> PHI DEUT
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: E(P=1) [GEV],,,2.27 TO 2.37
#: RE,,,GAMMA DEUT --> PHI DEUT
#: T-TMIN [GEV**2],T-TMIN [GEV**2] LOW,T-TMIN [GEV**2] HIGH,D(SIG)/D(T-TMIN) [MUB/GEV**2],total +,total -,stat +,stat -
-0.01,-0.02,0.0,1.23,0.17,-0.17,0.08,-0.08
-0.03,-0.04,-0.02,0.8,0.17,-0.17,0.06,-0.06
-0.05,-0.06,-0.04,0.66,0.14,-0.14,0.06,-0.06
-0.07,-0.08,-0.06,0.39,0.11,-0.11,0.05,-0.05
-0.09,-0.1,-0.08,0.28,0.08,-0.08,0.04,-0.04
-0.11,-0.12,-0.1,0.3,0.07,-0.07,0.04,-0.04
-0.13,-0.14,-0.12,0.23,0.06,-0.06,0.04,-0.04
-0.15000000000000002,-0.16,-0.14,0.17,0.06,-0.06,0.04,-0.04
-0.16999999999999998,-0.18,-0.16,0.11,0.05,-0.05,0.03,-0.03
-0.19,-0.2,-0.18,0.08,0.04,-0.04,0.03,-0.03
-0.21000000000000002,-0.22,-0.2,0.11,0.06,-0.06,0.04,-0.04
-0.22999999999999998,-0.24,-0.22,0.01,0.02,-0.02,0.01,-0.01
-0.25,-0.26,-0.24,0.05,0.06,-0.06,0.03,-0.03
-0.27,-0.28,-0.26,0.05,0.06,-0.06,0.03,-0.03
-0.29000000000000004,-0.3,-0.28,0.08,0.08,-0.08,0.04,-0.04
-0.31,-0.32,-0.3,0.02,0.02,-0.02,0.02,-0.02

