#: table_doi: 10.17182/hepdata.26965.v1/t2
#: name: Table 2
#: description: Differential cross section DSIG/DT for photon energy 1.67 to 1.77 GeV.

#: data_file: Table2.yaml
#: keyword reactions: GAMMA DEUT --> PHI DEUT
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: E(P=1) [GEV],,,1.67 TO 1.77
#: RE,,,GAMMA DEUT --> PHI DEUT
#: T-TMIN [GEV**2],T-TMIN [GEV**2] LOW,T-TMIN [GEV**2] HIGH,D(SIG)/D(T-TMIN) [MUB/GEV**2],total +,total -,stat +,stat -
-0.01,-0.02,0.0,0.36,0.11,-0.11,0.09,-0.09
-0.03,-0.04,-0.02,0.23,0.08,-0.08,0.08,-0.08
-0.05,-0.06,-0.04,0.2,0.09,-0.09,0.09,-0.09

