CLAS physics database search results
Measurement E161M37
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.71	2.4173	0.0325415961412	0.292595974888	0.301646102572
-0.69	2.507	0.0274539342945	0.233189454075	0.244700280501
-0.67	2.4966	0.0255436467841	0.233205236024	0.244210109838
-0.65	2.5727	0.0255373244368	0.298810734514	0.307946566522
-0.63	2.6618	0.0253181915867	0.211892777543	0.225571154092
-0.61	2.6828	0.0244622562564	0.211791968731	0.225373756308
-0.59	2.5598	0.0228666997519	0.158761689467	0.174957259874
-0.57	2.4827	0.0222198687351	0.179832470465	0.19344023946
-0.55	2.4597	0.0216792854379	0.16921692759	0.183535197366
-0.53	2.3653	0.0208205585344	0.169123222363	0.182188113323
-0.51	2.4076	0.0216491797526	0.126764636299	0.144308731576
-0.49	2.4155	0.0214228013456	0.147755045878	0.163434042272
-0.47	2.384	0.0216152145069	0.147625954702	0.16289336609
-0.45	2.3547	0.0208594962194	0.14753264526	0.162267911582
-0.43	2.3808	0.020524137931	0.168353555835	0.181721038959
-0.41	2.464	0.0207147185593	0.157745714474	0.172747316388
-0.39	2.5534	0.0200633289452	0.199594145284	0.212242408171
-0.37	2.6583	0.0210909568169	0.241380325504	0.25288596144
-0.35	2.5653	0.0179245004699	0.167745051441	0.182734815999
-0.33	2.5687	0.0171728343728	0.167522099317	0.182429735265
-0.31	2.4964	0.016211747947	0.115063544307	0.13462676613
-0.29	2.5167	0.0158795516812	0.135774555195	0.153104823414
-0.27	2.5053	0.0154454886278	0.125251255008	0.143773057092
-0.25	2.463	0.0151149060437	0.0937898694705	0.116687359874
-0.23	2.4725	0.0148914416881	0.101008192561	0.122499492287
-0.21	2.4429	0.0145633622892	0.0998434698858	0.120884614209
-0.19	2.4884	0.0146523177149	0.114264384589	0.133542209698
-0.17	2.508	0.0146369205298	0.0976086602582	0.120148885742
-0.15	2.4484	0.0143108513342	0.103717354064	0.123963527473
-0.13	2.4341	0.014297514259	0.0901735609035	0.11283771396
-0.11	2.4196	0.0140770704997	0.103547506422	0.123728149637
-0.09	2.4918	0.0142725438924	0.0992793255962	0.121324014853
-0.07	2.4982	0.0143640041365	0.113696241737	0.133359793262
-0.05	2.5033	0.0144556178848	0.103293393359	0.124589839195
-0.03	2.4695	0.0144451408039	0.0959183919129	0.117927713553
-0.01	2.4979	0.0153624922607	0.103061311032	0.124451818595
0.01	2.5396	0.0158679920477	0.0989355690759	0.121679985471
0.03	2.5646	0.0162700983738	0.0792470434711	0.106995605916
0.05	2.64	0.0164659104198	0.144062048417	0.161909002331
0.07	2.6475	0.0162517968841	0.143985725327	0.161803105585
0.09	2.7424	0.0162448618453	0.174746543496	0.190875769071
0.11	2.7313	0.0156215231788	0.11302556354	0.136555752994
0.13	2.7402	0.0151034645669	0.0790704455411	0.110026314786
0.15	2.7626	0.0146875785404	0.12322777705	0.144991698484
0.17	2.8331	0.0146829986953	0.112949632798	0.137490200292
0.19	2.873	0.0147844048172	0.123216197694	0.146592305832
0.21	2.8553	0.0146804695646	0.123228624164	0.146588725162
0.23	2.8455	0.014988202612	0.123191573504	0.146588035747
0.25	2.9791	0.015707029877	0.164250690143	0.183854504581
0.27	3.0228	0.0159137966171	0.123176260202	0.148902374847
0.29	3.1725	0.0162249951447	0.143787480444	0.168460042132
0.31	3.1952	0.0158193473718	0.123289246282	0.151902356201
0.33	3.2262	0.0158257883672	0.154189962133	0.178425423791
0.35	3.1977	0.0157309443426	0.143942965754	0.169129461874
0.37	3.2174	0.0159465673264	0.113182140775	0.14391595877
0.39	3.2223	0.016472873666	0.144161903543	0.169447292347
0.41	3.2192	0.0170017284425	0.113331819142	0.144236725422
0.43	3.3661	0.0182547858325	0.103096327744	0.139238718991
0.45	3.5044	0.0195124793778	0.165151303805	0.192026918357
0.47	3.7011	0.02046748408	0.165438726106	0.195067504915
0.49	3.8763	0.020701754386	0.227761119082	0.251033376001
0.51	3.8989	0.0190731289714	0.196978744415	0.223404241577
0.53	3.9861	0.0176495546179	0.17651983804	0.205546931996
0.55	3.9877	0.0165330977836	0.124809721888	0.163288130992
0.57	4.0411	0.0162498156979	0.114553190657	0.162835906551
0.59	4.1112	0.0164857012334	0.114822565965	0.163184071174
0.61	4.2352	0.0171406347169	0.156765712583	0.195158539598
0.63	4.3873	0.0181094412102	0.198877193612	0.230518677802
0.65	4.6316	0.0197067058957	0.262060080407	0.291352589214
0.67	4.8333	0.0214039248035	0.314773127829	0.343721608835
0.69	5.137	0.0238470929876	0.451771043955	0.472564198189
0.71	5.5364	0.0276050850683	0.553111561331	0.573108258595
0.73	6.0462	0.0334535509175	0.444643306405	0.476988586069
0.75	6.549	0.0415559207315	0.500778749002	0.534152021223
0.77	7.0346	0.0522411197531	0.354774330254	0.407468585929
