CLAS physics database search results
Measurement E161M23
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.69	5.9856	0.0833427223385	0.488339175812	0.52036801608
-0.67	5.7318	0.0682016210515	0.519744339927	0.547812933385
-0.65	5.5604	0.0624073553231	0.264846619766	0.309906723182
-0.63	5.5924	0.0612828056097	0.179951181537	0.241029402492
-0.61	5.6377	0.0606897807618	0.370056415309	0.403157614094
-0.59	5.491	0.0580845866831	0.401318365877	0.431613678951
-0.57	5.4842	0.0567567490622	0.316450503927	0.353801935751
-0.55	5.4947	0.0555382132377	0.263510904652	0.3070675756
-0.53	5.3247	0.0532627893644	0.231553093845	0.279590613212
-0.51	5.1189	0.051419282677	0.283880797817	0.319246692863
-0.49	5.1857	0.0523107802625	0.283616188304	0.319095004676
-0.47	4.9537	0.0507813529885	0.251831023086	0.290863425503
-0.45	5.1699	0.0528246685318	0.24108047286	0.281913854257
-0.43	5.0298	0.0521407243963	0.167470907502	0.222016171704
-0.41	5.003	0.0514587113768	0.324242025381	0.355342405358
-0.39	4.8433	0.0490024312372	0.261243950615	0.293887091678
-0.37	5.0057	0.0491593974145	0.229596153378	0.271184841361
-0.35	5.1087	0.048586762725	0.187713975207	0.236577622521
-0.33	5.1066	0.0466622501428	0.260351463241	0.297143825155
-0.31	5.2298	0.0453643323253	0.187284188742	0.241560894847
-0.29	5.2178	0.0425157924096	0.207897203915	0.257309273855
-0.27	5.4201	0.0415412914351	0.29074733207	0.327718257735
-0.25	5.3892	0.0394273502628	0.228219289393	0.273383682715
-0.23	5.4647	0.0387685003225	0.207306086217	0.256006672416
-0.21	5.5325	0.0382144528471	0.207103876336	0.255682644149
-0.19	5.4731	0.0372516826741	0.227672576605	0.272413522829
-0.17	5.4062	0.0361833097487	0.144746012365	0.207866184046
-0.15	5.5844	0.0366694782014	0.154919299535	0.222151964105
-0.13	5.5756	0.0357145586493	0.185798574538	0.244478133524
-0.11	5.6769	0.035891234126	0.154690850773	0.221699441634
-0.09	5.7217	0.0358649735221	0.216448755308	0.268392534796
-0.07	5.6242	0.0354312755242	0.19571876434	0.251854092409
-0.05	5.656	0.0356111657022	0.16469394305	0.228531324838
-0.03	5.4866	0.0349720477681	0.17483662624	0.229189057987
-0.01	5.691	0.0360853566009	0.226138999376	0.276083338121
0.01	5.8286	0.0370940801072	0.123342892868	0.200862289342
0.03	5.7963	0.0372801945463	0.154053357946	0.221028896009
0.05	5.8924	0.0390102791038	0.246431426819	0.293193684866
0.07	5.6911	0.0396098918139	0.184700477721	0.243671800429
0.09	5.8195	0.0414403708535	0.225625919751	0.276221124933
0.11	5.808	0.0413245762712	0.194866414233	0.251672904841
0.13	5.8458	0.041008768853	0.194830928954	0.251575009023
0.15	5.8877	0.040696733699	0.276824521794	0.319267946452
0.17	5.9651	0.0400741241559	0.225466326916	0.281660201546
0.19	6.1109	0.0396638652221	0.225437325649	0.281578197316
0.21	6.0521	0.0383316748518	0.174233299639	0.242317754872
0.23	6.1981	0.0380276687228	0.184522238257	0.249781501854
0.25	6.2638	0.0377281765062	0.174262660078	0.24227783983
0.27	6.4991	0.0389665031004	0.235802060288	0.295820549636
0.29	6.5385	0.0394911285768	0.225670690972	0.287913082416
0.31	6.6064	0.0405338386741	0.246286759535	0.304520548434
0.33	6.6373	0.0413759633084	0.174563425895	0.250296132143
0.35	6.7639	0.04160661452	0.22600205669	0.29496239214
0.37	6.9818	0.0424547387329	0.205561682128	0.279812673282
0.39	6.9302	0.0415598028738	0.205744484215	0.279901751152
0.41	6.9881	0.0414910394107	0.226531639399	0.295603637479
0.43	7.2119	0.0424568872885	0.216373895657	0.294883792085
0.45	7.1106	0.0425994429697	0.237205159005	0.310625824293
0.47	7.6805	0.0469752194427	0.237498923699	0.31819530311
0.49	7.6427	0.0486723775656	0.330636718563	0.392943919856
0.51	7.8287	0.0529637209302	0.310312558987	0.376699242957
0.53	7.9292	0.0580867223818	0.465892887564	0.517406095793
0.55	8.2172	0.0639378077078	0.56992473779	0.613399708296
0.57	8.5543	0.0659546703197	0.528903565372	0.579775111807
0.59	9.3769	0.0676702764926	0.871777548277	0.909187936416
0.61	10.1266	0.0701957854524	0.821506422193	0.867702501447
0.63	10.5361	0.0757272408672	0.709268831256	0.766884919044
0.65	11.0933	0.0872342008874	0.701597601333	0.769467713882
0.67	11.5937	0.103052771927	0.526305820031	0.622367217418
0.69	11.7504	0.119835008115	0.519148736712	0.620414244558
