CLAS physics database search results
Measurement E161M118
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.62	0.1194	0.00416511627907	0.0189476068774	0.0196627872725
-0.58	0.1334	0.00320673076923	0.0216639534198	0.0221335293667
-0.54	0.1362	0.00289103773585	0.0135960251842	0.014266346448
-0.5	0.1438	0.00267883755589	0.01394502884	0.0148327676738
-0.46	0.153	0.00268232819074	0.011798945524	0.0128385709633
-0.42	0.1679	0.00290038387716	0.0150225754571	0.0158919177211
-0.38	0.1772	0.0031182038835	0.012929300234	0.0143455105378
-0.34	0.1885	0.00323142857143	0.0140327427607	0.0153741965113
-0.3	0.2031	0.00355937334041	0.0108300905547	0.0126112782923
-0.26	0.2082	0.00367348209652	0.0194562465364	0.020523731238
-0.22	0.2184	0.0034632309217	0.0206110657556	0.0218855270719
-0.18	0.2342	0.0033612037037	0.016256146827	0.0178292527349
-0.14	0.2459	0.00325551632833	0.0184144403509	0.0198010996224
-0.1	0.27	0.00336685438455	0.0184960615146	0.020279031973
-0.06	0.2696	0.00336592831253	0.0173770114403	0.0192628488596
-0.02	0.2842	0.00336138878291	0.0141050014339	0.0163664789427
0.02	0.3118	0.00335618055556	0.0129728968268	0.0159554017712
0.06	0.3181	0.00324150815217	0.0161784617594	0.0186271069097
0.1	0.3371	0.00355749920051	0.0172367108068	0.0200971155583
0.14	0.3585	0.00397855428914	0.0139434968989	0.0174328785461
0.18	0.3917	0.00418299561884	0.0193531017579	0.0225184176716
0.22	0.4145	0.00374483737739	0.021374428484	0.0246862485804
0.26	0.4335	0.0035217872969	0.0202967242243	0.0237101445154
0.3	0.4389	0.00361935483871	0.014865741507	0.0192667211862
0.34	0.449	0.00382398864443	0.0191213783721	0.0232964921424
0.38	0.4542	0.00392191365228	0.0212409649805	0.0250669359055
0.42	0.4499	0.00391493414864	0.0254000647757	0.0286654135698
0.46	0.4559	0.00390922363847	0.0295424773935	0.0323849650856
0.5	0.4531	0.00379958071279	0.0295567790263	0.0323797628145
0.54	0.4649	0.00379682395644	0.0284477438094	0.0313666440234
0.58	0.4996	0.00390230103441	0.0264132929912	0.030014591312
0.62	0.5027	0.00390180406965	0.026413366408	0.0300137937301
0.66	0.545	0.0040065776746	0.0189817632305	0.0243772302394
0.7	0.6094	0.00431974412172	0.0158208663076	0.0235188560231
0.74	0.6796	0.00473112623762	0.0272929742704	0.0335473827239
0.78	0.7762	0.00513900824213	0.0472211879805	0.0519251715415
0.82	0.9968	0.00596760844449	0.0397545928096	0.0485489946401
0.86	1.1979	0.00763926793046	0.0930870645444	0.0988734583047
0.9	1.9462	0.0295726922451	0.17958133498	0.18950652995
