CLAS physics database search results
Measurement E161M110
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.66	0.2065	0.0046810922205	0.020163763925	0.0213725585931
-0.62	0.1952	0.00447510917031	0.0127366949368	0.0145131792717
-0.58	0.1991	0.00383704496788	0.0252096625506	0.0260509248019
-0.54	0.1833	0.00319709302326	0.0243913631477	0.0251704745353
-0.5	0.1938	0.00287663551402	0.0203981609004	0.0212776414173
-0.46	0.2009	0.0028776127321	0.0159423757629	0.0170539528579
-0.42	0.1984	0.00277333333333	0.0159608465384	0.0170553347796
-0.38	0.2014	0.00277645811241	0.013925921167	0.0151706485882
-0.34	0.2257	0.00310056845097	0.0171215208227	0.0185448599334
-0.3	0.2367	0.00321312217195	0.0192334564213	0.0205316004337
-0.26	0.2543	0.00343213833825	0.0289975934592	0.0299007117531
-0.22	0.2643	0.00354404713531	0.0203943553441	0.0220228392483
-0.18	0.2869	0.00344236970379	0.0193969093111	0.0210901319807
-0.14	0.3152	0.00344716336295	0.0236500965061	0.0254062658673
-0.1	0.3218	0.00323417085427	0.0183166628752	0.0205022251132
-0.06	0.3402	0.00323589093215	0.0215585020323	0.0238637572717
-0.02	0.3486	0.00334362623762	0.0172794723178	0.0200995450629
0.02	0.3712	0.0033412311266	0.019414586644	0.0219587513239
0.06	0.3849	0.00312226573427	0.0236951779205	0.0262130900838
0.1	0.4117	0.00333229765013	0.0171798076931	0.0205377327493
0.14	0.4279	0.00354079739218	0.017138049884	0.0211081201259
0.18	0.4693	0.0040687656856	0.0256796640515	0.0290015509727
0.22	0.4948	0.00416696177931	0.0202762528474	0.0249282683069
0.26	0.5029	0.00373150307399	0.0192415146184	0.0240053318351
0.3	0.5304	0.00361757271815	0.0170197875318	0.0229051843317
0.34	0.5452	0.00371679002727	0.0222922738161	0.0270516626053
0.38	0.5733	0.00381705196967	0.0191227642944	0.0251634537612
0.42	0.6021	0.00402317566379	0.0232545491803	0.0290501806508
0.46	0.6155	0.00391230029205	0.0242869081281	0.0298559976505
0.5	0.648	0.00401500081526	0.0400994983566	0.0441216262488
0.54	0.6873	0.00411809801813	0.053842745739	0.0572472801159
0.58	0.7564	0.00432831821354	0.0348321067615	0.0409609610307
0.62	0.8185	0.00443288201161	0.0338106426598	0.0406702725983
0.66	0.9142	0.00453618739903	0.0348056461495	0.0432784478572
0.7	0.997	0.00474360329879	0.0285080379497	0.039829389574
0.74	1.1062	0.00515931848468	0.0368404863265	0.0481270243438
0.78	1.1942	0.00567965474723	0.0557112333552	0.0648005691762
0.82	1.3741	0.0063051391863	0.079851457218	0.0885843218956
0.86	1.6375	0.00797551909767	0.104897240646	0.114469532254
