CLAS physics database search results
Measurement E161M89
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.3051	0.00951747607231	0.0534594018786	0.0549850111115
-0.65	0.2529	0.0077948630137	0.0374984014406	0.0388469351126
-0.61	0.2097	0.00714886363636	0.0237472892918	0.025384462813
-0.58	0.1869	0.00660156340475	0.0218233673069	0.0234333137453
-0.53	0.1892	0.00625632839225	0.0250299491619	0.0263577051054
-0.49	0.1594	0.00430519918974	0.0178892498428	0.0188969505493
-0.46	0.1735	0.00439919604205	0.0233898925646	0.0241838870614
-0.43	0.1642	0.00396049543677	0.0149854754978	0.0160804925754
-0.41	0.1719	0.00394804469274	0.0183807764554	0.0192784117412
-0.38	0.1957	0.00436307775965	0.0205417514459	0.0216635914619
-0.34	0.1919	0.00413943584071	0.0234372581784	0.0243845016404
-0.31	0.2201	0.00455452358037	0.0212166518319	0.0226114555287
-0.28	0.2418	0.00486136363636	0.0232982218977	0.0246302076341
-0.26	0.2584	0.00495908534096	0.0211257537755	0.0229225020889
-0.22	0.2893	0.00527150145773	0.0242332678849	0.0258748121951
-0.2	0.3086	0.00568945032434	0.0210444803929	0.0233727389769
-0.17	0.3232	0.00579400260756	0.0252436038193	0.0272366502824
-0.14	0.3512	0.00589898020396	0.0284958248267	0.0306053909333
-0.1	0.3604	0.00569052631579	0.0392900484888	0.0408171563109
-0.07	0.3768	0.00548226077224	0.022131082595	0.025119530755
-0.04	0.3937	0.00538014469453	0.0369099450428	0.038763098439
-0.02	0.4133	0.00548815117467	0.0232613455476	0.0265705036506
0.02	0.4206	0.00527861445783	0.0253563843914	0.0283843381053
0.04	0.4415	0.00538543410667	0.0327602976098	0.0351733300031
0.07	0.4526	0.00549118058796	0.0337562873514	0.0364721599123
0.1	0.4768	0.00559822773593	0.0327246061278	0.0355373257535
0.14	0.4947	0.00549197267293	0.0242867913928	0.0284345041103
0.17	0.5212	0.00559635332253	0.0305923328546	0.0339946746381
0.2	0.5683	0.006122102526	0.0358814696001	0.0396943905588
0.23	0.6017	0.00685908453174	0.0326881164858	0.037424939442
0.26	0.627	0.00738391655451	0.0338029255585	0.0384968933979
0.28	0.6966	0.00780208869381	0.0358610849252	0.0413165404852
0.31	0.7292	0.00727302688638	0.0368898777432	0.0426010300096
0.34	0.8078	0.0071645232816	0.0432100637138	0.0490712552332
0.38	0.8723	0.00726741125332	0.0389274290658	0.0464219376211
0.41	0.9843	0.00768737562854	0.0410870326982	0.0499688667532
0.44	1.0513	0.00779130696044	0.0379075920608	0.0480190222014
0.46	1.1601	0.00810522638599	0.0462958454425	0.0566235010262
0.49	1.3103	0.00873603502289	0.0599670050284	0.0703776227852
0.52	1.4162	0.00894530727502	0.0662992569925	0.0774067743298
0.55	1.5212	0.00926149162861	0.0863044887176	0.0960153753339
0.58	1.6823	0.00989340590591	0.0894545723794	0.10121548946
0.61	1.7899	0.0100000294048	0.0820931751847	0.0958326777591
0.65	1.9798	0.0104233248245	0.094728265579	0.10938620283
0.68	2.1767	0.0109540694861	0.0800540340126	0.100038430122
0.71	2.36	0.0112772418721	0.0568930911074	0.0865870042114
0.73	2.5324	0.011708934894	0.078026347112	0.105224764329
0.76	2.6728	0.0121423718101	0.0886725031045	0.1154035916
0.79	2.8292	0.0136318978075	0.12676916566	0.149020465621
0.82	2.9174	0.015847970159	0.169058811784	0.187379278347
0.85	3.3192	0.0252677072671	0.180439416341	0.203323448164
