CLAS physics database search results
Measurement E161M30
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.71	4.3536	0.0418564439576	0.423838233409	0.441562643224
-0.69	4.934	0.0368564621032	0.338901772201	0.367653633664
-0.67	4.6909	0.031432120296	0.285776611733	0.314300589128
-0.65	4.7516	0.0303545652851	0.391324482196	0.412509926717
-0.63	4.895	0.0305402517217	0.422698158294	0.445510085095
-0.61	4.9574	0.0305171491256	0.359005283539	0.385564966699
-0.59	4.9275	0.0291199708798	0.274358957018	0.308112769856
-0.57	4.789	0.0277253456018	0.221370538264	0.25646976421
-0.55	4.7242	0.0272801168287	0.284394594227	0.312410027322
-0.53	4.5415	0.0265178645906	0.263066841045	0.293006609881
-0.51	4.457	0.026177450171	0.304878239798	0.330985549263
-0.49	4.4442	0.0263629191974	0.231101182367	0.264553023666
-0.47	4.3456	0.0258129521418	0.230861390236	0.259395328834
-0.45	4.3606	0.0261007067308	0.157248571085	0.196731918628
-0.43	4.3777	0.026180537282	0.251340146948	0.277717539069
-0.41	4.4177	0.0258393970968	0.251073864744	0.281895246339
-0.39	4.4651	0.0253972028463	0.167181913159	0.210533979153
-0.37	4.4645	0.0242221650569	0.156638235179	0.202037366751
-0.35	4.5313	0.0232582953552	0.177280827213	0.218251348554
-0.33	4.646	0.022298465955	0.208410504572	0.244062887728
-0.31	4.6688	0.0212345930038	0.229017667572	0.261729537627
-0.29	4.8131	0.0207963187003	0.259969523461	0.293750251609
-0.27	4.7875	0.0200500716084	0.197384281615	0.240003505397
-0.25	4.7869	0.0195099876428	0.207585188253	0.248340130119
-0.23	4.7652	0.0189737075718	0.186638041195	0.230999997944
-0.21	4.8399	0.0190596181834	0.17607140868	0.222481052558
-0.19	4.76	0.0184207322376	0.155210716846	0.206225449101
-0.17	4.8347	0.0184056933869	0.165479546926	0.213990549202
-0.15	4.8241	0.0180786238945	0.134288545148	0.190778134296
-0.13	4.7744	0.0178572923423	0.154873907132	0.205696769922
-0.11	4.7493	0.0176381352619	0.175314962808	0.221420097452
-0.09	4.7792	0.017932434822	0.154563216133	0.205332545199
-0.07	4.7482	0.0177137056718	0.154487781495	0.20519458185
-0.05	4.8022	0.0178038403017	0.123523533266	0.182958345139
-0.03	4.8883	0.0179985377349	0.123394256914	0.182829689515
-0.01	4.9273	0.0185012724769	0.133625270502	0.18987468209
0.01	4.8842	0.0187980272567	0.13358384697	0.189816701972
0.03	4.8831	0.0194046782027	0.123180958203	0.182660029417
0.05	4.9197	0.0203183137958	0.143670373162	0.197105020702
0.07	4.9356	0.0205149947004	0.143642420588	0.197067390933
0.09	5.0309	0.0208142644601	0.143498314955	0.196957124634
0.11	5.0456	0.020295150838	0.15376643604	0.204479427888
0.13	5.0474	0.019673977831	0.204957909328	0.245233577631
0.15	5.146	0.0194652598049	0.184375333656	0.234403108344
0.17	5.1908	0.0188484439445	0.184338889442	0.234314132785
0.19	5.261	0.0185394350018	0.204862830572	0.250750368614
0.21	5.3477	0.0184350474002	0.194628875112	0.242444088399
0.23	5.4148	0.0186399394742	0.20485371038	0.250741907974
0.25	5.4052	0.0188466544125	0.174082778061	0.226325269489
0.27	5.4179	0.0192603660843	0.194649424089	0.242551077537
0.29	5.4646	0.0195735241167	0.215211726339	0.265195535462
0.31	5.6313	0.0200923816285	0.205017794839	0.257061602651
0.33	5.77	0.0201005989727	0.20511746859	0.257179357288
0.35	5.7886	0.0197002836075	0.215501412584	0.265549949744
0.37	5.824	0.0196097732962	0.184762271017	0.241326965371
0.39	5.8641	0.0197268015769	0.174689705763	0.240685929004
0.41	5.8629	0.0199484820317	0.205634671358	0.264105211669
0.43	5.9524	0.0208931977729	0.195587229355	0.256532442341
0.45	6.0318	0.0221511145273	0.164818136518	0.23415748976
0.47	6.0514	0.0232079668644	0.165076589116	0.2345746223
0.49	6.2072	0.0248891122055	0.206505525576	0.265646194064
0.51	6.3683	0.0258533476235	0.279205595246	0.330954334877
0.53	6.7353	0.0260949771689	0.258888184679	0.320072298708
0.55	7.0281	0.0244711724871	0.331798812109	0.386657055861
0.57	7.2765	0.0231567008691	0.353041367555	0.405094349635
0.59	7.3369	0.0225619604342	0.39505625921	0.44227067982
0.61	7.5452	0.0235270243795	0.447682218905	0.494289079218
0.63	7.8246	0.025424505613	0.552215025614	0.594532525247
0.65	8.199	0.0283836020924	0.615646051829	0.654100297199
0.67	8.7685	0.0331660621174	0.585861973782	0.634224271711
0.69	9.5141	0.0400250880583	0.556763174362	0.616897648206
0.71	9.9735	0.0475185020487	0.422435796261	0.506051826531
0.73	10.4421	0.057197762121	0.414673818812	0.507567523788
