CLAS physics database search results
Measurement E161M9
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.65	5.3605	0.0653092080779	0.325512991047	0.363087421924
-0.63	5.4575	0.0580953250197	0.241202286911	0.28828313351
-0.61	5.3759	0.0514244754427	0.356106112452	0.388530257742
-0.59	5.225	0.0479127457654	0.324279522624	0.354891519273
-0.57	5.1426	0.0463946845474	0.25074395954	0.288924877939
-0.55	5.2577	0.0468636062254	0.417477918472	0.44478739313
-0.53	5.3363	0.046189544744	0.364888155407	0.39570760796
-0.51	5.2905	0.0446873240269	0.281272257913	0.319965988217
-0.49	5.1848	0.0425640432749	0.291407879475	0.32408856826
-0.47	5.1224	0.0422127265715	0.187199614624	0.234723008298
-0.45	5.0832	0.0419695653062	0.155847732059	0.210448614975
-0.43	5.0866	0.041831274998	0.22840092914	0.26856197567
-0.41	5.2938	0.0428374818762	0.321559186071	0.355417821334
-0.39	5.083	0.0417701311148	0.21762770078	0.259349307222
-0.37	5.079	0.0419469595008	0.2589242024	0.294839698657
-0.35	5.2196	0.0419207567375	0.248387318828	0.290607781475
-0.33	5.187	0.0409638832938	0.237898970711	0.281508999044
-0.31	5.2347	0.0406327691092	0.279158356627	0.317068335277
-0.29	5.2834	0.0404054491756	0.175714227304	0.231168177879
-0.27	5.285	0.0394549434228	0.196273654471	0.246959487813
-0.25	5.3177	0.0378855026886	0.206452654829	0.254842540963
-0.23	5.4374	0.0365286294455	0.288899808291	0.325064831452
-0.21	5.5748	0.0352757104796	0.288853984307	0.32957346422
-0.19	5.6436	0.0336149528612	0.175306260425	0.236188627408
-0.17	5.7312	0.0325741789273	0.278300130915	0.320032348308
-0.15	5.81	0.0318426747073	0.206054104709	0.25954964429
-0.13	5.8293	0.0313176142087	0.164851590955	0.228113240714
-0.11	5.8616	0.0310023124231	0.185426148707	0.243337607522
-0.09	5.9494	0.0310985512765	0.113309885308	0.202366707758
-0.07	5.9691	0.0306836369282	0.195608063292	0.257574657015
-0.05	6.0764	0.0308864791596	0.174995186806	0.242306762938
-0.03	6.103	0.030883022687	0.164730078946	0.234987157832
-0.01	6.1198	0.031085874794	0.195544543233	0.257542051377
0.01	6.009	0.0308834866629	0.154442417268	0.227895303839
0.03	6.1391	0.0317069304938	0.164675318608	0.235059803713
0.05	6.2528	0.0321221345891	0.216227029923	0.273718046457
0.07	6.3203	0.0326399019272	0.205929324775	0.272234128778
0.09	6.5034	0.0334669464017	0.226541306385	0.288246871743
0.11	6.5471	0.0342979627474	0.175072013044	0.24996942937
0.13	6.6789	0.0362625370188	0.17508417521	0.250280856442
0.15	6.6978	0.0383308452048	0.195783033754	0.272396861822
0.17	6.6824	0.039888464208	0.257630356176	0.314112661344
0.19	6.6153	0.0397977899691	0.216472044185	0.281363501607
0.21	6.7715	0.0407387367491	0.226871340914	0.295963291821
0.23	6.7945	0.0407511122246	0.226970718051	0.296076547556
0.25	6.8337	0.0407633987224	0.371470100176	0.417321757932
0.27	7.021	0.0413959448333	0.309645177181	0.363485618779
0.29	7.0543	0.0414084126241	0.340793534804	0.39038919909
0.31	7.2952	0.0421401291199	0.413156507292	0.459330535185
0.33	7.4474	0.0428718009183	0.444236084403	0.48755485656
0.35	7.5456	0.0440175499137	0.475265973219	0.520116954898
0.37	7.7643	0.0462954202436	0.557982745311	0.596827422329
0.39	7.8605	0.0490854981201	0.578722086907	0.616476697599
0.41	8.128	0.0534254147861	0.475306864094	0.525227150276
0.43	8.4624	0.0578929596736	0.62030428438	0.663216721316
0.45	8.9021	0.0636648080099	0.600434203074	0.649048657252
0.47	9.1993	0.0691840466794	0.30084756553	0.396567607265
0.49	9.336	0.0744666800348	0.426447093512	0.499706968705
0.51	9.8567	0.0828811653447	0.553226059067	0.617275403869
0.53	10.2014	0.0920904428378	0.660006295681	0.719922192178
