CLAS physics database search results
Measurement E161M31
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.71	4.0026	0.0399444159144	0.488469501235	0.501422101669
-0.69	4.4574	0.0364292984248	0.317718344161	0.340355307626
-0.67	4.3918	0.0325961347535	0.27517612905	0.300560822414
-0.65	4.4231	0.0313064945002	0.446303331157	0.462279300584
-0.63	4.4922	0.0312831713916	0.380516232489	0.402312667853
-0.61	4.3672	0.0291477571156	0.380184295119	0.398603603816
-0.59	4.4634	0.0290208062419	0.232193438333	0.266069048658
-0.57	4.4143	0.0281528269437	0.284711482619	0.308716422989
-0.55	4.2715	0.0270754840301	0.242291886295	0.269941295459
-0.53	4.1708	0.0268418342882	0.294780453782	0.317841047573
-0.51	4.1164	0.0266062693202	0.252401557905	0.278919649627
-0.49	4.1127	0.0267911227488	0.22067969037	0.250546623769
-0.47	3.9512	0.0258214063704	0.220392524767	0.245473573313
-0.45	4.0057	0.0261118199906	0.220257605673	0.245341139265
-0.43	3.9341	0.0255631115017	0.230486740032	0.254467488977
-0.41	4.0229	0.0255362418377	0.261656856117	0.282965441162
-0.39	4.0802	0.0250915520025	0.198621383587	0.230880310431
-0.37	4.1525	0.0242323171345	0.240281178635	0.267437882024
-0.35	4.2824	0.0235806934191	0.198202197006	0.230245667291
-0.33	4.2947	0.0223057981215	0.239764658301	0.266703265514
-0.31	4.3478	0.0212412874796	0.197863103448	0.229607439776
-0.29	4.3477	0.0204932980811	0.197640367167	0.22929417679
-0.27	4.3889	0.0200562982431	0.249394837358	0.279554505788
-0.25	4.374	0.0194146214099	0.16606899914	0.208512500864
-0.23	4.3758	0.0192908155768	0.145224358957	0.192228415322
-0.21	4.495	0.0194799566631	0.176126009687	0.216472429265
-0.19	4.4252	0.0188407701125	0.165631867047	0.207895900192
-0.17	4.4265	0.0184092757009	0.124142452723	0.176501885987
-0.15	4.3799	0.018084241695	0.155048928414	0.1993608657
-0.13	4.3435	0.0178625882521	0.144600891909	0.184738353271
-0.11	4.3843	0.0181574417018	0.165104564779	0.207161369338
-0.09	4.377	0.0179364122371	0.154663425269	0.198856808429
-0.07	4.4153	0.018129264651	0.15454025289	0.19872204605
-0.05	4.4617	0.0182194232322	0.113243731028	0.168563502224
-0.03	4.4939	0.0184138285453	0.102864867269	0.161736929117
-0.01	4.5194	0.0186080846224	0.154181157042	0.198337795051
0.01	4.4836	0.0192129333853	0.133524803654	0.182753431107
0.03	4.5174	0.0201275380768	0.133491131582	0.182785638822
0.05	4.4927	0.0205277346249	0.143741615794	0.190402216368
0.07	4.5276	0.0207240987061	0.15391101888	0.198179245778
0.09	4.559	0.0205106287257	0.153838727599	0.19807001809
0.11	4.6708	0.0205044008868	0.194823970661	0.231327271211
0.13	4.6461	0.01967817877	0.143456645996	0.189982209663
0.15	4.6778	0.0190591838076	0.143439316481	0.189889074324
0.17	4.8088	0.0189528537037	0.194679606884	0.236636561946
0.19	4.8491	0.0186436867567	0.21509352139	0.253666796139
0.21	4.9484	0.0187462675444	0.184349308252	0.228189381711
0.23	4.9767	0.0188484202293	0.194589277852	0.236546012162
0.25	4.9822	0.0190555242541	0.194669584156	0.236637437942
0.27	4.9532	0.0193668500972	0.225469765417	0.262596453422
0.29	5.0721	0.0199858450533	0.163986603104	0.218814716375
0.31	5.1583	0.020096340615	0.215364405355	0.259597650821
0.33	5.3139	0.0202072830808	0.205106986011	0.251196382376
0.35	5.3158	0.0197044925382	0.184752193421	0.234872683881
0.37	5.317	0.0195111729146	0.184873265053	0.2350055898
0.39	5.3886	0.0199364634984	0.184928465692	0.235148837399
0.41	5.3933	0.020364106867	0.195441943174	0.243608244606
0.43	5.4394	0.0212066391612	0.164740670314	0.219910410661
0.45	5.4358	0.0220527630856	0.164831324815	0.22015822034
0.47	5.5855	0.0236275884363	0.165118070073	0.227540573057
0.49	5.7565	0.0252065753818	0.206567757788	0.259456610713
0.51	5.974	0.0260679122439	0.248235017577	0.299489404591
0.53	6.2401	0.0254816340759	0.258949273652	0.308499378979
0.55	6.5284	0.0239625703118	0.269737715613	0.32315821033
0.57	6.6421	0.0225430611383	0.301257730846	0.349933713832
0.59	6.6716	0.0220535004834	0.322446713608	0.373523182
0.61	6.859	0.0230209731798	0.41666452308	0.457488761757
0.63	7.1479	0.0249244700252	0.510992495829	0.548630779751
0.65	7.4453	0.0275631978236	0.605573042767	0.63783202476
0.67	8.0601	0.0323358378126	0.690643434482	0.725484384236
0.69	8.6097	0.0379120014149	0.798200156695	0.831830225702
0.71	9.1166	0.0450611559342	0.47486681525	0.540069687491
0.73	9.4928	0.0536376391608	0.350519847748	0.43671622316
