CLAS physics database search results
Measurement E161M49
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.71	1.4652	0.0240875144844	0.11674087393	0.125835452319
-0.69	1.4845	0.0208246492986	0.127510681833	0.135361463205
-0.67	1.4411	0.0190402199587	0.149996366702	0.156238292182
-0.65	1.4182	0.0183158432197	0.10328862419	0.111685359256
-0.63	1.3916	0.0172631288766	0.0991077412788	0.107666346029
-0.61	1.3552	0.0166360717658	0.0949536787924	0.103373496566
-0.59	1.3156	0.0176039250669	0.117387358017	0.12411908728
-0.57	1.273	0.0155816566063	0.0832544411873	0.0917303372962
-0.55	1.3425	0.0164370329146	0.117455455169	0.124027785881
-0.53	1.2979	0.0160089630787	0.0864298738929	0.0946933925385
-0.51	1.2643	0.0155783441641	0.0736709250187	0.0826796487261
-0.49	1.239	0.0152528409091	0.0832136457812	0.0912259240604
-0.47	1.2097	0.0147121353662	0.0959789720354	0.10257020222
-0.45	1.3017	0.0150220739892	0.153466534766	0.158157289316
-0.43	1.2283	0.0137341336569	0.127763936902	0.132939679028
-0.41	1.2086	0.0126582819926	0.0819278822929	0.0892176223237
-0.39	1.2023	0.0120081226799	0.0998807538503	0.105856399719
-0.37	1.2054	0.0113596794081	0.0828246200338	0.0898449133171
-0.35	1.1927	0.0110297705851	0.0774182417834	0.084830126319
-0.33	1.167	0.0105946436677	0.0783872663483	0.0852468666287
-0.31	1.131	0.0102654627117	0.063475272944	0.0712488623668
-0.29	1.1495	0.0104653761265	0.063442618976	0.0716953340364
-0.27	1.13	0.0101373703392	0.053854189462	0.0627760056442
-0.25	1.1269	0.0101256458255	0.0706783651241	0.0776761154969
-0.23	1.0651	0.00958695351137	0.0642891151158	0.0713803249791
-0.21	1.011	0.00915455870108	0.0547397849374	0.0618767715465
-0.19	1.0286	0.00935473124872	0.0399185295729	0.0498637870168
-0.17	0.9973	0.00913509159823	0.0398667794221	0.0491743321905
-0.15	0.9693	0.00901967106687	0.0429634208816	0.0511341083644
-0.13	0.978	0.00911472951259	0.0639537466136	0.0697077316029
-0.11	0.9212	0.0086856298989	0.050254948346	0.0568486320191
-0.09	0.8861	0.00836337895234	0.0480779980084	0.0544020982574
-0.07	0.8684	0.00856286676287	0.0594868667254	0.0647214382843
-0.05	0.8925	0.00907627118644	0.0595118584935	0.0648057678277
-0.03	0.8723	0.00917113500597	0.0562573575873	0.0618349534872
-0.01	0.8691	0.00916266922248	0.0405783870148	0.0480006376872
0.01	0.8664	0.00904992195942	0.0416276219898	0.0488586686564
0.03	0.8907	0.00914604434072	0.0468149535183	0.0533545871347
0.05	0.886	0.0087229254571	0.0685472141773	0.0731113195134
0.07	0.8636	0.00819709239457	0.0528683050256	0.058581447232
0.09	0.897	0.00819036061026	0.0684114609775	0.0732552339948
0.11	0.8962	0.00797773410405	0.0497646034704	0.0562001893498
0.13	0.9122	0.00797178526841	0.0404214131326	0.0481125713003
0.15	0.9337	0.0079670766844	0.0528023265501	0.059335221603
0.17	0.9676	0.00827273698835	0.0527553013708	0.0597866059206
0.19	1.0043	0.00857846043017	0.0537193635168	0.0611399675707
0.21	1.0688	0.00898758940653	0.0495921691062	0.0581106607685
0.23	1.0609	0.00877801031831	0.0392299188739	0.0495193236445
0.25	1.1174	0.00877485218034	0.0495286984405	0.0590697470807
0.27	1.1402	0.0086699375396	0.050562062686	0.059920473757
0.29	1.1866	0.00887447604139	0.0536712555749	0.0631084867272
0.31	1.2778	0.00949116744712	0.0381366980806	0.0526765558553
0.33	1.3245	0.0096964953271	0.057792196518	0.0688291856081
0.35	1.4501	0.0107284911432	0.0536375752415	0.0672959885752
0.37	1.5663	0.0116564739199	0.0598759268467	0.0742275674112
0.39	1.6226	0.0122767929807	0.0453682747535	0.0646292854094
0.41	1.7319	0.0128969081377	0.078446923206	0.0925892036664
0.43	1.8499	0.0131074146396	0.0835784402909	0.0985630689538
0.45	1.9504	0.0128016938387	0.0897920187704	0.105396954232
0.47	2.0495	0.0121864953389	0.0857382606037	0.1030034404
0.49	2.1689	0.0116757515126	0.0950858392539	0.112455796762
0.51	2.2876	0.0113728645033	0.082721871068	0.104021359029
0.53	2.4037	0.0113801756047	0.0672438220449	0.0943362574958
0.55	2.5447	0.0117000081377	0.0817671682864	0.107866569783
0.57	2.695	0.0121242357827	0.0704645507095	0.102593594403
0.59	2.8685	0.0127594929842	0.10059401244	0.128442868896
0.61	3.0158	0.0133957096619	0.13503719844	0.158569709772
0.63	3.1782	0.0139294433179	0.114354757701	0.144553208265
0.65	3.3056	0.0143586024551	0.135239899939	0.163371247296
0.67	3.5195	0.0152034735783	0.145809514063	0.175127722778
0.69	3.5976	0.0155226131526	0.135413213834	0.167831947585
0.71	3.8085	0.0164599540456	0.218781694647	0.242876906199
0.73	4.0412	0.0180113252267	0.260277548328	0.284928586481
0.75	4.3417	0.0204187829926	0.343794172873	0.362964767311
0.77	4.653	0.0246782479718	0.313730894362	0.338794889454
0.79	5.1812	0.032220607243	0.273810742063	0.30781158979
0.81	5.4637	0.0423451911281	0.276577158833	0.316977943133
