CLAS physics database search results
Measurement E161M133
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.62	0.0719	0.00286327433628	0.00800322810341	0.00876061660221
-0.58	0.0851	0.00265274314214	0.0088092538743	0.00944159465101
-0.54	0.0984	0.002656587473	0.00636808786044	0.00760083798554
-0.5	0.1025	0.00265819502075	0.00953645632464	0.0104012038297
-0.46	0.116	0.00287603305785	0.012164638665	0.0129020079856
-0.42	0.12	0.00288	0.0106162893706	0.0114560027933
-0.38	0.1406	0.00330949126803	0.00964817431159	0.0110578279384
-0.34	0.1369	0.00352669789227	0.0107355671474	0.011746020885
-0.3	0.1462	0.00352933430871	0.0209041574654	0.0216273234883
-0.26	0.155	0.00342541436464	0.0118134049465	0.0130239601054
-0.22	0.1667	0.00331901091843	0.012879214515	0.0139724950403
-0.18	0.1649	0.00310525974026	0.0139587736548	0.0149276619145
-0.14	0.1642	0.00310417209909	0.00961114538332	0.0109700611423
-0.1	0.1794	0.00321121718377	0.0107297755894	0.0124130661224
-0.06	0.1776	0.0029956626506	0.0117233103381	0.0132297412892
-0.02	0.1771	0.0028875	0.0107178516387	0.0123208273056
0.02	0.1797	0.00309827586207	0.0106588313938	0.0123184988591
0.06	0.1824	0.00341733021077	0.0128534763481	0.0143318211707
0.1	0.2037	0.0037346778418	0.0159691008331	0.0172460121733
0.14	0.1975	0.00309260259179	0.00961487437303	0.0114210773181
0.18	0.213	0.00287693846923	0.00852779133447	0.0104586806962
0.22	0.2188	0.00276962025316	0.0128038745563	0.0145760212248
0.26	0.2172	0.00276959293771	0.0106456260952	0.0127220119861
0.3	0.2177	0.00287568493151	0.0106174590263	0.0127215310487
0.34	0.2276	0.00308862891905	0.0116991611409	0.01368376808
0.38	0.2355	0.00329891549932	0.0127811250103	0.0146631577823
0.42	0.2269	0.00340084309133	0.020215940895	0.02146883282
0.46	0.2121	0.0031815	0.0216676731042	0.0225327873609
0.5	0.1915	0.00296079514081	0.0105940404065	0.012204662545
0.54	0.1861	0.00284685552408	0.00948184653035	0.0112162162108
0.58	0.1887	0.0027347826087	0.00951477609212	0.0112102255328
0.62	0.2	0.00283315844701	0.0136082038938	0.0148572104937
0.66	0.205	0.00282686414709	0.0125864545879	0.013921728695
0.7	0.2336	0.00323719266875	0.0136205940996	0.0153380871943
0.74	0.2987	0.00364649459365	0.0177288769294	0.0199268571932
0.78	0.4125	0.00426222278226	0.0145901835819	0.0190211599955
0.82	0.5543	0.00529288522749	0.0342939552395	0.0380319750321
0.86	0.7941	0.00840372354325	0.0518230395732	0.0568413772474
0.9	1.1747	0.0146086346798	0.101554654215	0.107509737131
