CLAS physics database search results
Measurement E161M92
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.2976	0.0100133140376	0.038106345167	0.0403305611763
-0.65	0.2563	0.00862237174096	0.0351581385395	0.0367730774905
-0.61	0.2282	0.0080845536136	0.0271206562028	0.0290296469934
-0.58	0.1858	0.00689744779582	0.0282707483789	0.0295947181948
-0.55	0.1943	0.00721224376731	0.0470504361281	0.0479033281324
-0.53	0.1678	0.00590845070423	0.0161533343393	0.0177286401669
-0.49	0.157	0.0043968579235	0.0203299690211	0.0212377215863
-0.46	0.176	0.00438662613982	0.0128731313638	0.014257463938
-0.43	0.1678	0.00394949109415	0.0205234383108	0.0213316785497
-0.41	0.1824	0.0042591943958	0.0191316299122	0.0203102166756
-0.38	0.1889	0.00435596175478	0.0180827430771	0.0193437049577
-0.34	0.2138	0.00466626984127	0.0218063276543	0.0231900621174
-0.31	0.228	0.00476544356712	0.0285043952332	0.0295902409555
-0.28	0.2355	0.00486439155815	0.0249298554903	0.026180474214
-0.26	0.2592	0.00570599266205	0.0308772027188	0.0322594255538
-0.22	0.2956	0.00549363831308	0.0253106684638	0.0272441204521
-0.2	0.3169	0.00580983333333	0.0243155472206	0.0263896526523
-0.17	0.3469	0.00623236906212	0.0429501755046	0.0444290796492
-0.14	0.3562	0.00602296054583	0.0306131335584	0.0326171567604
-0.1	0.3493	0.0056031779661	0.0306927417589	0.0326185836542
-0.07	0.3633	0.00539554455446	0.0285954209439	0.0306181302406
-0.04	0.3857	0.0053981064764	0.0285949374273	0.0309651758692
-0.02	0.4036	0.00529380902413	0.0317618574082	0.0338959828879
0.02	0.426	0.00550770760816	0.0254099420878	0.0284911202913
0.04	0.4343	0.00561412195122	0.0370773736222	0.0392685366066
0.07	0.4426	0.00561460028722	0.028655126306	0.0314393241608
0.1	0.4778	0.00561494456763	0.0296734291497	0.0327667889021
0.14	0.4831	0.00550661990355	0.0243860028959	0.0280442989055
0.17	0.5282	0.00592769539078	0.0275699551569	0.0318567077558
0.2	0.5357	0.00613679636579	0.0306925028364	0.0346282209697
0.23	0.5796	0.00708505747126	0.0306928649792	0.0352683318555
0.26	0.6266	0.00761052631579	0.0390655844599	0.0432442509304
0.28	0.6519	0.00739355152301	0.037987174097	0.0426626253753
0.31	0.7319	0.00738973027549	0.0422587492297	0.0473574378335
0.34	0.75	0.00696496411988	0.0432426788579	0.048171243883
0.38	0.8212	0.0070665810429	0.0538382153527	0.0586435636059
0.41	0.8987	0.00748565227593	0.042140301494	0.0491921575212
0.44	0.9807	0.00769383127351	0.0347586674131	0.0442901338228
0.46	1.0783	0.00800769982412	0.0442817879441	0.0538086523827
0.49	1.2195	0.00863772998186	0.0495527962961	0.0605502578776
0.52	1.314	0.00884706636743	0.0600518061068	0.0704756282862
0.55	1.3902	0.00905667752443	0.0968775856028	0.104425020837
0.58	1.5405	0.00947676008202	0.115812913867	0.123597914933
0.61	1.6732	0.0100033983638	0.0853155438427	0.0971028124264
0.65	1.8289	0.0103214627124	0.0769105155845	0.0920440023478
0.68	2.0192	0.0107449081803	0.0990187201907	0.113669632093
0.71	2.166	0.0109601518027	0.0759128781727	0.096777074249
0.73	2.3532	0.0114944566435	0.0590924484725	0.0881020662268
0.76	2.4791	0.0120319042956	0.0791911818261	0.104779192587
0.79	2.6284	0.0135179684989	0.076007266282	0.105437756143
0.82	2.7151	0.0155227014624	0.190067187435	0.204524583938
0.85	3.1276	0.0220268436378	0.201197858237	0.219826201264
