CLAS physics database search results
Measurement E161M14
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	5.2255	0.0435749893481	0.265041846325	0.301898388651
-0.65	5.5081	0.0361037617254	0.33878165297	0.371547589563
-0.63	5.337	0.0317156270428	0.264303914086	0.304578877897
-0.61	5.3259	0.0305139586059	0.295629393549	0.33193093316
-0.59	5.2594	0.0294180553328	0.274126007559	0.312732171321
-0.57	5.4212	0.0298018570319	0.336984776092	0.36902899746
-0.55	5.3312	0.0286046948357	0.368090221866	0.397473680543
-0.53	5.2568	0.0277309461485	0.325621305546	0.358363376212
-0.51	5.1312	0.0268566825458	0.241310088066	0.278481199326
-0.49	5.0598	0.0263018224744	0.178169088606	0.225816619853
-0.47	4.9543	0.0257485855534	0.177946762662	0.225483968107
-0.45	4.9033	0.0257215438746	0.219598752685	0.25954059546
-0.43	4.9848	0.0263187915104	0.302858582862	0.332941304175
-0.41	4.8309	0.0258766539234	0.187825873568	0.233125260373
-0.39	4.8866	0.025953743441	0.218866541987	0.25872148897
-0.37	4.9793	0.0261377844236	0.249937004514	0.285443645861
-0.35	5.0149	0.025694496764	0.249681382638	0.285112762061
-0.33	4.947	0.0248415379767	0.218291062554	0.257926085375
-0.31	4.9887	0.0245068420724	0.228489506743	0.26651787084
-0.29	5.0526	0.024071363739	0.145218488657	0.199652615851
-0.27	5.1549	0.0233258084627	0.186648109178	0.237585257618
-0.25	5.2551	0.0222730794252	0.186474528912	0.23728401288
-0.23	5.3646	0.0212194994887	0.24839529553	0.28835821025
-0.21	5.5253	0.0206866470731	0.175887670497	0.235448267993
-0.19	5.5127	0.019846960435	0.175682492473	0.235159733502
-0.17	5.5813	0.0195247876062	0.206579361672	0.258975727758
-0.15	5.5694	0.0190998053573	0.134248118927	0.205839737567
-0.13	5.5446	0.018572109122	0.165058434388	0.227029100747
-0.11	5.6643	0.0186654705336	0.144398615678	0.21243160458
-0.09	5.6933	0.0184499366355	0.144325499612	0.212306405199
-0.07	5.7025	0.0182362958011	0.144251854461	0.212191611126
-0.05	5.766	0.0184345574052	0.154504132933	0.219260770772
-0.03	5.8436	0.0187377367466	0.247090544582	0.297556619519
-0.01	5.7203	0.0185262873799	0.144114075218	0.21200717691
0.01	5.7831	0.0189319716756	0.154343222878	0.219089193878
0.03	5.8735	0.0191339323245	0.144034657752	0.219551667115
0.05	5.9367	0.0191317324185	0.154318588688	0.226417458254
0.07	6.0824	0.0198478857046	0.143938012467	0.219513504681
0.09	6.1567	0.0204647441037	0.133642187384	0.212961657378
0.11	6.1939	0.0215962244102	0.143989454792	0.219712647963
0.13	6.2946	0.0229328334069	0.205725752282	0.270947471966
0.15	6.2297	0.0232439979528	0.154258602869	0.234321372477
0.17	6.3106	0.0234518320511	0.185120424517	0.255725697766
0.19	6.4096	0.0234569075938	0.246888180126	0.303468793669
0.21	6.4175	0.0232581503873	0.247007425881	0.303580884602
0.23	6.3774	0.022647748184	0.257405593378	0.312085604338
0.25	6.5624	0.0227578640137	0.308962974522	0.355840155131
0.27	6.6379	0.0224580532017	0.288426985295	0.343627793711
0.29	6.7703	0.0224673537113	0.298856668015	0.352468646217
0.31	6.8683	0.0224764230815	0.298956268383	0.352593088328
0.33	6.9341	0.0228984351293	0.247543171323	0.310278431317
0.35	7.1009	0.0239421113824	0.268333999528	0.333200839533
0.37	7.1718	0.0247780496934	0.278801108774	0.34179318748
0.39	7.3154	0.0257206241175	0.309934589059	0.367749494075
0.41	7.4638	0.0263512121506	0.361641222233	0.417365308558
0.43	7.6401	0.027083022595	0.392767361026	0.444681209743
0.45	7.8012	0.0279186692292	0.485998752991	0.533034970809
0.47	8.0946	0.0293721031853	0.589468675635	0.628893238241
0.49	8.4557	0.0315538215898	0.610384957501	0.652202275506
0.51	8.7014	0.0346933385701	0.724970352676	0.763885841581
0.53	9.1816	0.0398464609021	0.601882463238	0.652588194184
0.55	9.7446	0.046925573648	0.447446086739	0.524969947236
0.57	10.1645	0.0560893644351	0.490906094072	0.568916918708
