CLAS physics database search results
Measurement E161M67
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.6638	0.0123737050478	0.0635057589781	0.0673247332692
-0.65	0.6251	0.0109628200631	0.0775287467735	0.0802406353712
-0.61	0.5491	0.00942943290735	0.0416458376677	0.0453753221067
-0.58	0.5943	0.0102994469027	0.0713605731024	0.0739495008695
-0.55	0.5846	0.00973604041916	0.0437292752851	0.0477105559378
-0.53	0.5815	0.00949521396396	0.0425535064569	0.0465722187396
-0.49	0.6136	0.00946846399432	0.0669336103134	0.0695432498387
-0.46	0.6562	0.00900241322314	0.0607364516263	0.0641088514544
-0.43	0.6486	0.00778060646451	0.0583838347751	0.061385358851
-0.41	0.655	0.00753492193919	0.0420299292335	0.0464558599045
-0.38	0.6451	0.00718326408509	0.0429028054687	0.0467601528452
-0.34	0.6426	0.00726101694915	0.0362805406915	0.0407540002672
-0.31	0.6264	0.00691390728477	0.0372640293857	0.0415457724818
-0.28	0.6325	0.00699246231156	0.0413124130356	0.0451991235353
-0.26	0.6387	0.00696648487853	0.0348097412866	0.0397773337712
-0.22	0.6265	0.00683722296844	0.0410342830092	0.0448755149136
-0.2	0.6255	0.0068137254902	0.0346361537262	0.0390819431646
-0.17	0.635	0.00689763001975	0.0313501626808	0.0366887296719
-0.14	0.6161	0.00687797699594	0.0312520948489	0.0360834920038
-0.1	0.577	0.00665249504594	0.0301753924525	0.034610890883
-0.07	0.5666	0.00663903332113	0.0269956151358	0.0318584508869
-0.04	0.5437	0.00631727619048	0.0279961072568	0.032154336179
-0.02	0.5518	0.00620697412823	0.0309844069198	0.0352044144807
0.02	0.5488	0.00578881145225	0.0258600011982	0.0307030638016
0.04	0.5544	0.00547785234899	0.0300040519537	0.0342140912214
0.07	0.5696	0.00547791689349	0.0330490911601	0.0369135436152
0.1	0.5976	0.00558408029071	0.0361715087784	0.0401660431834
0.14	0.6393	0.00600087392782	0.0247838558764	0.0309776495905
0.17	0.6596	0.00600389202762	0.0300052208877	0.0352992356622
0.2	0.7159	0.00611083622685	0.0362890848687	0.0417313027457
0.23	0.815	0.0066310704297	0.0445087508807	0.0499841901065
0.26	0.8932	0.00704857839155	0.0373405616275	0.0454189588339
0.28	0.9858	0.00788142225963	0.0435932699297	0.0518602009862
0.31	1.0827	0.00892050201188	0.0498074757828	0.0588660537024
0.34	1.2022	0.00954538707172	0.0664175849128	0.0748648074769
0.38	1.3482	0.00954771765068	0.0674273763961	0.0771813359882
0.41	1.5152	0.0092383914503	0.046694883268	0.0631644033659
0.44	1.6892	0.00903259987707	0.056077198035	0.0728909841395
0.46	1.8771	0.00924219406948	0.0560430356849	0.0762589038741
0.49	2.0922	0.00966014298481	0.0540434236287	0.079232776962
0.52	2.2824	0.00997588781643	0.0706996581482	0.0947913237982
0.55	2.5561	0.010812869636	0.0966973208017	0.119665293071
0.58	2.7516	0.011340154265	0.0904922145891	0.118019340447
0.61	2.9627	0.0117670767284	0.0864024068257	0.11916874363
0.65	3.1336	0.0120919996008	0.12511703939	0.152009756962
0.68	3.331	0.0124217041146	0.125285718527	0.155235362921
0.71	3.5514	0.0128579224678	0.125442751205	0.159225107067
0.73	3.8116	0.013401587694	0.104746157196	0.147970553414
0.76	4.1074	0.0146749011101	0.157216593518	0.195517631954
0.79	4.3388	0.0172087160512	0.251812668648	0.277540145723
0.82	4.6929	0.0239125966676	0.211653461395	0.247972304994
