CLAS physics database search results
Measurement E161M65
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.7575	0.0143006917423	0.0545568530589	0.0600929964064
-0.65	0.7318	0.012894191429	0.069921025646	0.0737704799626
-0.61	0.6949	0.0121298789118	0.0579439905218	0.0620464002103
-0.58	0.6777	0.0114660812117	0.0578751153921	0.0618516529918
-0.55	0.6661	0.0110108183306	0.0556206066102	0.0596520270702
-0.53	0.6899	0.0114221854305	0.0576799244104	0.0616395436938
-0.49	0.6757	0.0106306951357	0.0837278228603	0.0863911485404
-0.46	0.737	0.0104899486427	0.0818303793067	0.0850202472639
-0.43	0.7381	0.00905379672897	0.0625481315851	0.0664350984921
-0.41	0.7914	0.00902125118741	0.0709286051393	0.0746565785591
-0.38	0.7401	0.0083469924812	0.0470655682694	0.0519446552087
-0.34	0.7382	0.00831594454073	0.0437160733186	0.0488936341401
-0.31	0.7173	0.00796881943416	0.0467253455506	0.051112933775
-0.28	0.7352	0.0080465437788	0.0613747760339	0.0650866953947
-0.26	0.729	0.00812462006079	0.0443621522119	0.049355068968
-0.22	0.7248	0.0082040922943	0.0389452547768	0.0445355289738
-0.2	0.7157	0.00807456410256	0.0261832277337	0.0338782482069
-0.17	0.6926	0.00773854748603	0.0376121640272	0.0427654524358
-0.14	0.6436	0.00730059957867	0.0406496155676	0.0449448982295
-0.1	0.6245	0.00759681719713	0.0561887743991	0.059094255979
-0.07	0.6196	0.00768399530752	0.045657926104	0.0491906134845
-0.04	0.5673	0.00694610745614	0.0321583829072	0.0363901524009
-0.02	0.5628	0.00672958057395	0.0300558271438	0.0344936911504
0.02	0.5761	0.00641375471359	0.0341021077131	0.0380114706055
0.04	0.5734	0.00620450856628	0.0299643800779	0.0343068439372
0.07	0.5868	0.00599619450317	0.0289863011003	0.0339082905012
0.1	0.6179	0.00630721218206	0.0299429302923	0.0347857389725
0.14	0.6451	0.00651616161616	0.0279504854661	0.0336580183836
0.17	0.6853	0.00672572852182	0.0299542079824	0.0359079954915
0.2	0.7287	0.00662360460162	0.0455206311696	0.0500266534888
0.23	0.8353	0.00724727317799	0.036283288598	0.0434488009186
0.26	0.8868	0.00745558150397	0.0434652079765	0.0501201841365
0.28	1.0136	0.00859597425156	0.0320678846616	0.0434068960006
0.31	1.1241	0.00973695171397	0.0455713920275	0.0560110623544
0.34	1.2696	0.010668907563	0.0652333075308	0.0744151517299
0.38	1.3793	0.0105669671023	0.0776846137035	0.0868187209227
0.41	1.5526	0.0103603363139	0.0527930244584	0.0685475580682
0.44	1.7544	0.0101542168675	0.0653154030823	0.081491952133
0.46	1.9632	0.0102600855197	0.0507737200245	0.0747497056706
0.49	2.1849	0.0105741032454	0.061193123311	0.0864389764129
0.52	2.4108	0.0112	0.060166435826	0.0895203018563
0.55	2.6282	0.0118279894201	0.11408851242	0.135208299632
0.58	2.7953	0.0121480610653	0.0924048949588	0.120787775578
0.61	3.052	0.0129898872961	0.0976397092787	0.1288942379
0.65	3.2501	0.0133166709347	0.156032773081	0.179843278805
0.68	3.4973	0.013855437729	0.145843329794	0.175065596415
0.71	3.7222	0.0142932813858	0.166889041304	0.195698269128
0.73	4.0048	0.0150454265588	0.12540065845	0.163915238021
0.76	4.2464	0.0164191902276	0.177743242325	0.212358662106
0.79	4.5931	0.0199016875713	0.23044221148	0.263246823458
0.82	4.9726	0.0276983842163	0.158599494046	0.211682085313
