CLAS physics database search results
Measurement E161M86
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.2928	0.00923487940631	0.0319938588225	0.0341574148323
-0.65	0.2523	0.00794217335058	0.0443951785949	0.0455699720416
-0.61	0.2181	0.00729176646707	0.0206504271576	0.0225659299173
-0.58	0.2047	0.00696110520723	0.0278430065599	0.0292107137355
-0.55	0.1836	0.00629733885275	0.0173952155311	0.0192800731904
-0.53	0.1994	0.0081277173913	0.0322928817235	0.0337379594324
-0.49	0.1766	0.00518776009792	0.0301570413862	0.0309038748788
-0.46	0.1721	0.00452611145899	0.0150334398945	0.0162810048869
-0.43	0.1837	0.00440192869667	0.0185858285731	0.0198400512281
-0.41	0.1846	0.00460162318841	0.022126569188	0.0232247767298
-0.38	0.2024	0.00479873551106	0.0192096886361	0.0205053519814
-0.34	0.211	0.00488967254408	0.0190835296109	0.0204043562101
-0.31	0.2301	0.0050874251497	0.0201682449744	0.0217504128788
-0.28	0.2497	0.00538920863309	0.0276802534365	0.0289039566907
-0.26	0.2645	0.00548405103668	0.025312747465	0.026931570345
-0.22	0.2774	0.00547430740038	0.0231618643137	0.0249147745803
-0.2	0.3092	0.00599265555933	0.0251971839567	0.0272314271656
-0.17	0.3293	0.0061993299298	0.0365783858094	0.0382862557284
-0.14	0.3404	0.00640678802839	0.025198275083	0.0276650025587
-0.1	0.3515	0.00619614580221	0.023082845951	0.0257010804659
-0.07	0.3694	0.00619869169511	0.0220450951749	0.0251950677409
-0.04	0.3765	0.00588445436785	0.0262484894193	0.0288795273864
-0.02	0.4154	0.00599286256644	0.0263265189165	0.0293726613566
0.02	0.4201	0.00589023535303	0.027373438357	0.0302963254102
0.04	0.4219	0.00578665835411	0.0262702224028	0.0292839829878
0.07	0.4677	0.00620933843384	0.0315956344487	0.0345880869082
0.1	0.4743	0.00610505992011	0.0294743658689	0.0326428577782
0.14	0.5099	0.00621059042114	0.0294523100388	0.0330646561076
0.17	0.5334	0.0063161634103	0.0252211435065	0.0298864556671
0.2	0.5787	0.0068429143169	0.0347323267814	0.038762435967
0.23	0.6334	0.00747405683896	0.0368496740063	0.0412000582027
0.26	0.6622	0.00820909090909	0.0421072538459	0.0464813903712
0.28	0.7109	0.00873367377146	0.0273388540808	0.0343865153705
0.31	0.8028	0.00873180448172	0.0473007990471	0.0529309864205
0.34	0.8285	0.00799365240574	0.0451985787522	0.0514027955609
0.38	0.9433	0.00851904337161	0.0346686587573	0.0437221782953
0.41	1.0346	0.00872858304533	0.0462841424034	0.0549967252463
0.44	1.1208	0.00883264846608	0.0409584462727	0.0518215567774
0.46	1.2621	0.00946338415396	0.0505213257977	0.062016012625
0.49	1.365	0.00977929281257	0.0494421422684	0.0624073631053
0.52	1.5111	0.0101994781156	0.0630807470324	0.0759268290383
0.55	1.6443	0.010726438987	0.0988195502249	0.109202313337
0.58	1.7815	0.011149495188	0.0946455427215	0.106879182666
0.61	1.9421	0.0115726435536	0.0989253957343	0.11263759472
0.65	2.1128	0.0121038158812	0.0863558778608	0.104665367411
0.68	2.2972	0.0123222262975	0.0779318467578	0.101085609063
0.71	2.508	0.0128582955119	0.0727727575163	0.100769349598
0.73	2.6838	0.0132939733459	0.0696425177078	0.101620362533
0.76	2.9073	0.014260273226	0.089774465231	0.120578650691
0.79	3.0094	0.0154349891098	0.116280054658	0.143384413896
0.82	3.1325	0.0182853358977	0.179671941302	0.19986499968
0.85	3.4188	0.0268224657534	0.170300661569	0.196201512136
