CLAS physics database search results
Measurement E161M91
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.3213	0.0103506040268	0.0417356561741	0.0438565765666
-0.65	0.2611	0.00863497312939	0.0323679971431	0.0343414780382
-0.61	0.2331	0.00809749884206	0.0216342439781	0.0239911331954
-0.58	0.192	0.00679932546374	0.0248879322813	0.026358299382
-0.55	0.19	0.00689733408962	0.0269307776059	0.0283174219812
-0.53	0.1722	0.00602323547783	0.0304092195621	0.0312971225581
-0.49	0.1742	0.00493727664818	0.018140101965	0.0192839904549
-0.46	0.1636	0.00428272251309	0.0164516955927	0.0175311640265
-0.43	0.1667	0.00405803971813	0.0180494408126	0.0189867517991
-0.41	0.1807	0.00426179245283	0.0216851821548	0.0227330044659
-0.38	0.2003	0.0044652866242	0.0256136919511	0.0265378581414
-0.34	0.2156	0.00466850393701	0.0274052015316	0.0285196030925
-0.31	0.2148	0.00455219319862	0.0227490117825	0.0240538271732
-0.28	0.2669	0.00549873217116	0.0317270223076	0.0330398497061
-0.26	0.276	0.00538691159587	0.027884425464	0.0293466911565
-0.22	0.2985	0.00559423620934	0.0264140970172	0.0282896329705
-0.2	0.3332	0.00612150776053	0.0295730813873	0.031658631318
-0.17	0.3271	0.00580338709677	0.0375542367544	0.038926281383
-0.14	0.341	0.00591207430341	0.0306347413475	0.0326147116216
-0.1	0.3532	0.00570358851675	0.0253666922958	0.0276832742307
-0.07	0.3821	0.00581180862832	0.0327889139873	0.0349363692916
-0.04	0.377	0.00528603477285	0.0306474768355	0.0328478104975
-0.02	0.4206	0.00560658953722	0.0295732337387	0.0322709450504
0.02	0.4307	0.00550144927536	0.0264335781889	0.0294012860734
0.04	0.4529	0.00582133676093	0.0444201760275	0.0465656300317
0.07	0.4532	0.00571527323681	0.0275126453077	0.0308369165623
0.1	0.4865	0.00582064389819	0.022251294448	0.0268007353549
0.14	0.5049	0.00571345347863	0.0306724053401	0.0340973503733
0.17	0.5111	0.00581757036424	0.0285125564455	0.0321852384497
0.2	0.5777	0.00655516105417	0.0211054463008	0.0272015835431
0.23	0.6012	0.00729175602039	0.0338229255704	0.038510448695
0.26	0.6396	0.0078167464905	0.0443158941499	0.0484506746771
0.28	0.6598	0.007600896	0.0327289837911	0.0380925060325
0.31	0.7495	0.00759735323103	0.0359050166952	0.0418190769888
0.34	0.8161	0.00759457153936	0.0516445784486	0.0567053739224
0.38	0.841	0.00737996740629	0.0316510044245	0.0399276863578
0.41	0.9539	0.00790437520716	0.0336850241589	0.0434899154869
0.44	1.0175	0.00790229885057	0.0378846099739	0.0474147243207
0.46	1.1067	0.00811039307129	0.0474113016509	0.0569793462007
0.49	1.23	0.00852996575342	0.0410225509232	0.0537699513958
0.52	1.3444	0.00905532581454	0.0600207553634	0.071011539776
0.55	1.484	0.00958098616531	0.0769054920282	0.0872177227693
0.58	1.5891	0.00979171138939	0.0894657609819	0.0998171102257
0.61	1.7501	0.0102129527133	0.0789421028151	0.092633653946
0.65	1.8824	0.0105309090909	0.0811192945835	0.096715821411
0.68	2.048	0.0108499125604	0.0653048190981	0.0865990155921
0.71	2.259	0.011381414443	0.0727146711832	0.0963475246852
0.73	2.4282	0.011811952745	0.080134123645	0.104764356936
0.76	2.6107	0.0125605765343	0.0918450974039	0.117238649213
0.79	2.6977	0.0137319785426	0.102484109819	0.127117638523
0.82	2.816	0.0159483909684	0.168948923718	0.186394018643
0.85	3.2746	0.0252226544548	0.201326172422	0.22156979078
