CLAS physics database search results
Measurement E161M151
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.62	0.0555	0.00222	0.00705915009049	0.00747512882969
-0.58	0.0628	0.0022239460371	0.00985210962302	0.0103196952343
-0.54	0.0656	0.00222552504039	0.0086172523634	0.00914890606971
-0.5	0.0733	0.00339450072359	0.00634959564363	0.00750606617079
-0.46	0.0668	0.0021240063593	0.00528947984075	0.00608287785627
-0.42	0.0761	0.00255083798883	0.00532007758917	0.00627125133963
-0.38	0.0836	0.00276539440204	0.00740017525476	0.00818138694998
-0.34	0.0787	0.00244939106901	0.00740543607028	0.00808557335572
-0.3	0.0912	0.00255700934579	0.00640872087124	0.00722152919298
-0.26	0.0881	0.00234648910412	0.00743868193192	0.00808643446827
-0.22	0.0928	0.00234666666667	0.00930876767116	0.00983418075445
-0.18	0.094	0.00234733257662	0.0116661917426	0.0120898177985
-0.14	0.0817	0.0020291503268	0.00815122990421	0.00866731057654
-0.1	0.0883	0.00213542926239	0.00750199585879	0.00808703024198
-0.06	0.0732	0.00192350364964	0.00536564382995	0.0060875065635
-0.02	0.0759	0.00235183098592	0.0106432556586	0.0111077074345
0.02	0.0713	0.00235172413793	0.00638039133432	0.00712816590072
0.06	0.0671	0.0020300955414	0.00638503814341	0.00703253325601
0.1	0.0637	0.00160318791946	0.00650536613073	0.00703272812627
0.14	0.0652	0.00160327868852	0.00895765021905	0.00934771535278
0.18	0.062	0.00149397590361	0.00642868851317	0.00693649973492
0.22	0.0628	0.00149269949066	0.00316573028393	0.00409844464511
0.26	0.064	0.00149084858569	0.00529408825904	0.00589796393534
0.3	0.0705	0.00169879518072	0.0053361123427	0.00598909230733
0.34	0.0693	0.00169541284404	0.00533718795699	0.00598759455976
0.38	0.0675	0.00169014084507	0.00417054240163	0.00497125739819
0.42	0.0604	0.00157839721254	0.00640848361467	0.00692741256947
0.46	0.056	0.00157303370787	0.00421610779676	0.00462057885003
0.5	0.0541	0.0015666023166	0.00421850176978	0.00461960762251
0.54	0.0548	0.00156273764259	0.00421993495927	0.00461902582031
0.58	0.0599	0.00166388888889	0.00864126575019	0.00904244558964
0.62	0.0683	0.00176191198786	0.00625664975422	0.00682251096385
0.66	0.0732	0.00207072135785	0.00520308687782	0.00597058514233
0.7	0.1161	0.00227647058824	0.00829323107485	0.00914311447845
0.74	0.1857	0.0028983277592	0.00830901294982	0.0102091470278
0.78	0.2807	0.00424675276753	0.0155298129716	0.0176573080093
0.82	0.3901	0.00539069891044	0.0259459123034	0.0284555629605
0.86	0.5396	0.00840046127234	0.037367395553	0.0409597428056
